#Codi terr.	Comarca	Hab. (2017)	Sup.(km2)	Dens.(2017)(hab./km2)	Capital 
01	Alt Camp	43995	538	81.8	Valls 
02	Alt Empordà	139705	1357.54	102.9	Figueres 
03	Alt Penedès	106930	592.69	180.4	Vilafranca del Penedès 
04	Alt Urgell	20296	1447.46	14	la Seu d'Urgell 
05	Alta Ribagorça	3827	426.86	9	el Pont de Suert 
06	Anoia	118277	866.31	136.5	Igualada 
39	Aran	9985	633.6	15.8	Vielha e Mijaran 
07	Bages	175095	1092.3	160.3	Manresa 
08	Baix Camp	187471	697.15	268.9	Reus 
09	Baix Ebre	78180	1002.67	78	Tortosa 
10	Baix Empordà	132906	701.69	189.4	la Bisbal d'Empordà 
11	Baix Llobregat	813996	485.99	1674.9	Sant Feliu de Llobregat 
12	Baix Penedès	100850	296.45	340.2	el Vendrell 
13	Barcelonès	2248227	145.75	15425.2	Barcelona 
14	Berguedà	39013	1185.25	32.9	Berga 
15	Cerdanya	17623	546.69	32.2	Puigcerdà 
16	Conca de Barberà	20036	650.17	30.8	Montblanc 
17	Garraf	147504	185.11	796.8	Vilanova i la Geltrú 
18	Garrigues	18975	797.7	23.8	les Borges Blanques 
19	Garrotxa	56184	734.62	76.5	Olot 
20	Gironès	188083	575.6	326.8	Girona 
21	Maresme	444046	398.53	1114.2	Mataró 
42	Moianès	13279	337.9	39.3	Moià 
22	Montsià	67491	735.42	91.8	Amposta 
23	Noguera	38726	1784.07	21.7	Balaguer 
24	Osona	156572	1245.2	125.7	Vic 
25	Pallars Jussà	13280	1343.09	9.91	Tremp 
26	Pallars Sobirà	6947	1377.92	5	Sort 
27	Pla d'Urgell	36614	305.14	120	Mollerussa 
28	Pla de l'Estany	31738	262.78	120.8	Banyoles 
29	Priorat	9345	498.61	18.7	Falset 
30	Ribera d'Ebre	22203	827.32	26.8	Móra d'Ebre 
31	Ripollès	24999	956.62	26.1	Ripoll 
32	Segarra	22736	722.72	31.5	Cervera 
33	Segrià	208059	1396.66	149	Lleida 
34	Selva	167837	995.04	168.7	Santa Coloma de Farners 
35	Solsonès	13360	1001.24	13.3	Solsona 
36	Tarragonès	250488	319.37	784.3	Tarragona 
37	Terra Alta	11634	743.04	15.7	Gandesa 
38	Urgell	36028	579.66	62.2	Tàrrega 
40	Vallès Occidental	910031	583.13	1560.6	Sabadell i Terrassa 
41	Vallès Oriental	403259	735	548.7	Granollers 
